status_incident_id,name,first_public_at_utc,last_update_at_utc,source_url,codex_related,has_rate_limit_language,collection_status
STATUS_01KY4BT971GFN59WBT0CKSGCPJ,Elevated Errors Affecting File Uploads and Image Generation,2026-07-22T07:32:04.96Z,2026-07-22T14:39:42.009Z,https://status.openai.com/incidents/01KY4BT971GFN59WBT0CKSGCPJ,0,0,ok
STATUS_01KY54SWGRK806N6TJ495MYPDD,Elevated errors for Workspace Agent,2026-07-22T14:48:46.359Z,2026-07-22T16:09:35.397Z,https://status.openai.com/incidents/01KY54SWGRK806N6TJ495MYPDD,0,0,ok
STATUS_01KY7SX5MYJ2BP51X5MXAPYX71,Elevated Error Rates,2026-07-23T15:36:02.973Z,2026-07-24T19:33:22.018Z,https://status.openai.com/incidents/01KY7SX5MYJ2BP51X5MXAPYX71,0,0,ok
STATUS_01KY81XMFAV8KXNJGVNEMKAK15,Some users may experience elevated error rates in ChatGPT,2026-07-23T17:56:06.761Z,2026-07-23T20:41:01.307Z,https://status.openai.com/incidents/01KY81XMFAV8KXNJGVNEMKAK15,0,0,ok
STATUS_01KY8PGR54KXGBSFXHEJ3FM83F,Elevated API error rates and latency on gpt-image-2 model,2026-07-23T23:56:04.644Z,2026-07-24T00:09:22.441Z,https://status.openai.com/incidents/01KY8PGR54KXGBSFXHEJ3FM83F,0,0,ok
STATUS_01KY9HYHCMK8AND23B4X17XQEK,Elevated Errors in Codex Review,2026-07-24T07:55:28.019Z,2026-07-24T09:35:02.304Z,https://status.openai.com/incidents/01KY9HYHCMK8AND23B4X17XQEK,1,0,ok
STATUS_01KYC921K145JTR1JK7DYKGWH1,Elevated error rates,2026-07-25T09:17:49.024Z,2026-07-25T11:08:36.611Z,https://status.openai.com/incidents/01KYC921K145JTR1JK7DYKGWH1,0,0,ok
STATUS_01KYCGY017EG43XZS6GFVXA8VH,Elevated error rates,2026-07-25T11:35:24.966Z,2026-07-25T11:57:02.014Z,https://status.openai.com/incidents/01KYCGY017EG43XZS6GFVXA8VH,0,0,ok
STATUS_01KYDN6YPS6ARY1EC9089N089G,Elevated errors affecting ChatGPT conversations,2026-07-25T22:09:27.256Z,2026-07-27T16:32:09.186Z,https://status.openai.com/incidents/01KYDN6YPS6ARY1EC9089N089G,0,0,ok
STATUS_01KYJFG4S86K8FMTB4N6BDZS7F,Image generation unavailable in ChatGPT,2026-07-27T14:04:00Z,2026-07-27T20:24:51.546Z,https://status.openai.com/incidents/01KYJFG4S86K8FMTB4N6BDZS7F,0,0,ok
STATUS_01KYJC3TDHZVSQFFPTC8X9RAHC,"We’re seeing elevated latency, timeouts, and interrupted streaming across gpt 5.1 mini model and gpt 4.1 mini",2026-07-27T15:30:00Z,2026-07-27T18:06:39.536Z,https://status.openai.com/incidents/01KYJC3TDHZVSQFFPTC8X9RAHC,0,0,ok
